a	एक
ab	उदर मांसपेशी
aba	अबा,अबा
abaca	ऐबका,अबाका
abacinate	जलती सलाख़ों से अंधा करना
aback	पीछे,चकित,भौचक
abactinal	पृष्ठीय
abacus	गिनतारा,शीर्ष फलक
abaft	पीछे
abalone	कर्णशुक्ति,कनसीपी
abamp	ऐबेम्प
abampere	ऐबेंपियर
abandon	त्याग देेेना,छोड़ देना,लापरवाह
abandoned	उच्छृंकल,परित्यक्त,उन्मुक्त
abandonment	परित्याग,परित्याग,परित्याग,त्याग
abarticulation	स्थानच्युति,चलसंधिता
abase	नीचा दिखाना,अवनत करना,पदावनत करना
abasement	अपमान,अधोगति,दुर्दशा
abash	लज्जित कर देना
abashed	शर्मिंदा,लज्जित
abashment	संकोच
abasia	चलन.अक्षमता,गति.असमर्थता
abasic	चलन.अक्षम,चलन.अक्षमता संबंधी
abatable	उपशमनीय,कम होने योग्य
abate	कम करना,घटना,छूट,काटना
abatement	कम होना,घटाव,उपशमन,कमी,मंदी
abatic	चलन.अक्षम,चलन.अक्षमता संबंधी
abatis	झाड़बन्द
abator	उपशामक
abattis	बाड़,झाड़बंदी
abattoir	कसाई खाना,बूचड़खाना
abaxial	अपाक्ष
abaya	अबया
abba	अब्बा,तात,पिता
abbacy	मठाधीशाधिकारक्षेत्र,मठाधीश की पदावधि
abbatial	मठीय,मठाध्यक्षीय
abbe	ऐबे
abbess	मठाध्यक्षा
abbey	मठ
abbot	मठाध्यक्ष
abbreviate	संक्षिप्त करना,छोटा करना
abbreviated	संक्षिप्त,लघु
abbreviation	संक्षिप्त रूप,संक्षेप,संकेत चिन्ह
abbreviator	संक्षेपक,संक्षेपकार
abcoulomb	एबकूलौम्ब
abdicable	अधित्याज्य
abdicate	गद्दी छोड़ देना,छोड़ देना
abdication	राजत्याग,पदत्याग
abdicator	परित्याग करने वाला,त्याग करने वाला
abdomen	उदर,पेट
abdominal	उदरीय,उदर मांसपेशी,औदरिक
abdominocentesis	उदरवेधन,उदरछेदन
abdominoplasty	उदरसंधान
abdominous	तोंदियल,तुंदिल
abdominousness	तुंदिलता,तोंदियलपन
abdominovaginal	उदर.योनि संबंधी
abdominovesical	उदरमूत्राशयी,उदरमूत्राशयिक
abduce	उद्धृत करना,प्रमाण देना,सामने रखना
abducens	अपकर्षिणी,अपवर्तनी
abducent	अपकर्षिणी,अपवर्तनी,अपकर्षिणी,अपवर्तनी
abduct	भगा ले जाना,भागाना,अपहरण
abducted	अपहृत,अगवा
abducting	अपकर्षिणी,अपवर्तनी
abduction	अपहरण,अपावर्तन
abductor	अपहरणकर्ता,अपावर्तक,अपकर्षी,अपवर्तनी
abeam	आड़ा,तिरधा
abecedarian	वर्णानुक्रमिक,प्रारंभिक
abecedarius	वर्णक्रम्युक्त कविता
abed	पलंग,बिस्तर
abele	श्वेतक
abelmosk	एबलमौस्क
aberrance	विपथगमन,अपसरण,उत्क्रम,असामान्यता
aberrancy	पथांतरण,विपथता
aberrant	अनैतिक,विपथगामी,विपथगामी,पथभ्रष्ट
aberrate	भटक जाना,डिगना,विपथन करना,अपसरित होना
aberration	विपथगमन,विपथन
abet	अवप्रेरित करना,दुरूत्साहित करना,उकसाना
abetment	उकसाहट,दुरुत्साहन,अवप्रेरण
abettal	उकसाहट,दुरुत्साहन
abetter	उकसाने वाला,दुरुत्साहक,अवप्रेरक
abettor	उकसाने वाला,दुरुत्साहक,अवप्रेरक
abeyance	स्थगन,प्रसुप्तावस्था
abeyant	प्रसुप्त
abhor	से घृणा करना,घृणित समझना,नफरत करना
abhorrence	बीभत्स,घिनौना,घृणा,नफरत
abhorrent	घृणास्पद,घृणित,का विरोधी,घिनौना
abhorrer	घृणा करने वाला
abidance	निवास,पालन,प्रचलन
abide	प्रतीक्षा करना,स्वीकार करना,टिके रहना,अटल रहना
abiding	(चिर) स्थायी,टिकाऊ
abience	परिहार,टाल.मटोल
ability	योग्यता,क्षमता,सामथर्य,प्रतिभा
abiogenesis	अजीवात्,जीवोत्पत्ति
abiogenetic	अजीवात जनिक
abiogenist	अजीवात जननवादी,अजीवात जीवोत्पत्तिवादी
abiotic	अजैव
abiotrophy	अजीवीपोषण
abirritant	प्रदाहहर
abirritate	प्रदाह शान्त करना
abject	घृणित,अधम,नीच
abjection	अधोगति,दुर्दशा
abjectly	दीन.हीन ढंग से
abjuration	सशपथ त्याग
abjure	शपथपूर्वक त्यागना या त्याग देना
abjurer	त्याजक
ablactate	दूध छुड़ाना
ablactation	दूधछुड़ाई,स्तन्यत्याजन
ablate	अंशोच्छेदन करना,अपक्षरण करना,अपक्षरित होना
ablated	अपक्षारित
ablation	अपवर्तन,उच्छेदन
ablative	अपादान कारक,पंचमी
ablaut	अपश्रुति
ablaze	प्रज्वलित,जलता हुआ,जोशीला
able	योग्य,समर्थ
ablepharia	सहजवर्त्महीनता
abloom	पुष्पित,फलता.फूलता
abluent	प्रक्षालक,अपमार्जक
ablush	लज्जित
ablution	प्रक्षालन,स्नान
ablutionary	प्रक्षालन
ablutions	प्रक्षालन
ably	योग्य रीति से,कुशलता पूर्वक,सफाई से
abnegate	अस्वीकार करना,छोड़ देना
abnegation	आत्मनिषेध,आत्मत्याग,अस्वीकरण,निषेध
abnegator	अस्वीकर्ता,आत्मत्यागी
